1780-12-21-en-bip39-purple-shiny-hamster-encode
abandon|5723 	ability|6004 	able|5763 	about|5470 	above|6927 	absent|7166 	
absorb|6905 	abstract|5583 	absurd|6527 	abuse|6654 	access|6575 	accident|6014 	
account|6718 	accuse|6770 	achieve|5637 	acid|7299 	acoustic|6130 	acquire|7171 	
across|5964 	action|7161 	actor|7413 	actress|7180 	actual|5977 	act|6165 	
adapt|7409 	addict|5443 	address|7138 	add|6431 	adjust|6920 	admit|5822 	
adult|6946 	advance|6663 	advice|6674 	aerobic|5912 	affair|5757 	afford|6480 	
afraid|6669 	again|5439 	agent|7129 	age|7287 	agree|6032 	ahead|6319 	
aim|7157 	airport|7313 	air|5855 	aisle|7301 	alarm|5483 	album|6831 	
alcohol|7080 	alert|5526 	alien|6962 	alley|6501 	allow|6919 	all|6059 	
almost|6706 	alone|5801 	alpha|6285 	already|7268 	also|7023 	alter|6339 	
always|5506 	amateur|5566 	amazing|6625 	among|6198 	amount|6556 	amused|7177 	
analyst|5924 	anchor|5688 	ancient|5476 	anger|6711 	angle|5501 	angry|6680 	
animal|6396 	ankle|6143 	announce|6760 	annual|7041 	another|7154 	answer|6158 	
antenna|7156 	antique|6108 	anxiety|6633 	any|7193 	apart|5761 	apology|6913 	
appear|5712 	apple|6377 	approve|6805 	april|5512 	arch|6030 	arctic|7477 	
area|6964 	arena|5608 	argue|5516 	armed|6856 	armor|7440 	army|7032 	
arm|5682 	around|7400 	arrange|5719 	arrest|5647 	arrive|6374 	arrow|5568 	
artefact|6072 	artist|5521 	artwork|6686 	art|7354 	ask|7425 	aspect|5683 	
assault|6650 	asset|6098 	assist|6354 	assume|6852 	asthma|6517 	athlete|5661 	
atom|6634 	attack|5504 	attend|6251 	attitude|7421 	attract|6871 	auction|6521 	
audit|7191 	august|6772 	aunt|5864 	author|6283 	auto|6415 	autumn|7451 	
average|5517 	avocado|6453 	avoid|5982 	awake|6494 	aware|5726 	away|5980 	
awesome|6642 	awful|5628 	awkward|6703 	axis|6154 	baby|5790 	bachelor|6825 	
bacon|6829 	badge|6467 	bag|6552 	balance|5800 	balcony|5505 	ball|6350 	
bamboo|6974 	banana|6879 	banner|5810 	barely|7222 	bargain|5732 	barrel|5652 	
bar|5656 	base|6265 	basic|6324 	basket|6741 	battle|5934 	beach|5609 	
bean|7229 	beauty|6810 	because|5874 	become|7049 	beef|6872 	before|6131 	
begin|6613 	behave|6544 	behind|5594 	believe|6188 	below|5697 	belt|7479 	
bench|6167 	benefit|5994 	best|5488 	betray|6885 	better|6787 	between|7266 	
beyond|5988 	bicycle|6616 	bid|6230 	bike|5635 	bind|5877 	biology|7119 	
bird|6648 	birth|5744 	bitter|6984 	black|7393 	blade|5527 	blame|6459 	
blanket|5999 	blast|6641 	bleak|5996 	bless|6104 	blind|5806 	blood|7241 	
blossom|6998 	blouse|5942 	blue|6705 	blur|7068 	blush|5809 	board|5941 	
boat|6668 	body|6629 	boil|5518 	bomb|7461 	bone|7139 	bonus|5954 	
book|6448 	boost|5914 	border|5571 	boring|6603 	borrow|6990 	boss|5503 	
bottom|7295 	bounce|6965 	box|7206 	boy|7211 	bracket|6005 	brain|7230 	
brand|5701 	brass|5467 	brave|6076 	bread|7335 	breeze|6201 	brick|5978 	
bridge|6215 	brief|6046 	bright|5751 	bring|5547 	brisk|6593 	broccoli|7132 	
broken|6027 	bronze|6842 	broom|6239 	brother|6597 	brown|6486 	brush|6833 	
bubble|7237 	buddy|7350 	budget|6303 	buffalo|5585 	build|6209 	bulb|7133 	
bulk|5782 	bullet|5774 	bundle|6995 	bunker|7104 	burden|7194 	burger|7327 	
burst|7273 	business|6520 	busy|7401 	bus|6471 	butter|6980 	buyer|6313 	
buzz|7143 	cabbage|6817 	cabin|5670 	cable|5469 	cactus|6537 	cage|6290 	
cake|5907 	call|6297 	calm|7272 	camera|6788 	camp|5707 	canal|5453 	
cancel|6568 	candy|5577 	cannon|5709 	canoe|5979 	canvas|5630 	canyon|7017 	
can|6485 	capable|6851 	capital|6138 	captain|6311 	carbon|7433 	card|5943 	
cargo|6088 	carpet|6021 	carry|6588 	cart|6773 	car|5983 	case|7382 	
cash|6338 	casino|5485 	castle|6293 	casual|7405 	catalog|6497 	catch|6850 	
category|6356 	cattle|6602 	cat|7292 	caught|6717 	cause|6086 	caution|6242 	
cave|6912 	ceiling|6105 	celery|6236 	cement|6044 	census|7387 	century|5531 	
cereal|5435 	certain|6936 	chair|6836 	chalk|5638 	champion|6428 	change|5644 	
chaos|6815 	chapter|5640 	charge|6755 	chase|6862 	chat|7145 	cheap|6318 	
check|7371 	cheese|5898 	chef|5840 	cherry|6018 	chest|5548 	chicken|6247 	
chief|7188 	child|6551 	chimney|6309 	choice|5565 	choose|7131 	chronic|6372 	
chuckle|6325 	chunk|6943 	churn|5447 	cigar|6398 	cinnamon|7246 	circle|6321 	
citizen|6385 	city|6615 	civil|6591 	claim|5778 	clap|6583 	clarify|7204 	
claw|5910 	clay|5795 	clean|5916 	clerk|7456 	clever|5441 	click|7256 	
client|7407 	cliff|5593 	climb|6557 	clinic|5885 	clip|7083 	clock|6695 	
clog|7100 	close|7236 	cloth|6757 	cloud|5460 	clown|5615 	club|6596 	
