2003-07-02-en-bip39-blue-blue-monkey-encode
abandon|5534 	ability|6844 	able|6308 	about|5433 	above|5483 	absent|6598 	
absorb|5742 	abstract|6783 	absurd|6607 	abuse|7193 	access|6408 	accident|6889 	
account|5830 	accuse|6511 	achieve|6414 	acid|5812 	acoustic|5606 	acquire|5978 	
across|5748 	action|6773 	actor|7054 	actress|6591 	actual|6074 	act|5442 	
adapt|7303 	addict|6259 	address|6722 	add|6120 	adjust|6656 	admit|6703 	
adult|6433 	advance|6673 	advice|6105 	aerobic|7214 	affair|6147 	afford|5882 	
afraid|7426 	again|5464 	agent|5587 	age|6354 	agree|6771 	ahead|6203 	
aim|6976 	airport|5588 	air|5671 	aisle|5790 	alarm|5925 	album|6657 	
alcohol|6563 	alert|6510 	alien|5770 	alley|6082 	allow|6251 	all|6779 	
almost|6114 	alone|6447 	alpha|7416 	already|5467 	also|7383 	alter|7356 	
always|7319 	amateur|5628 	amazing|5508 	among|6101 	amount|6040 	amused|7138 	
analyst|7344 	anchor|6984 	ancient|6240 	anger|5794 	angle|5551 	angry|6144 	
animal|7173 	ankle|6446 	announce|5626 	annual|6176 	another|6427 	answer|6567 	
antenna|5554 	antique|6449 	anxiety|5539 	any|6645 	apart|6314 	apology|6946 	
appear|7209 	apple|7310 	approve|6359 	april|5741 	arch|6309 	arctic|5907 	
area|7336 	arena|5980 	argue|7183 	armed|6332 	armor|6193 	army|5519 	
arm|6872 	around|6177 	arrange|7291 	arrest|5821 	arrive|6283 	arrow|5574 	
artefact|7290 	artist|7058 	artwork|6662 	art|5477 	ask|6714 	aspect|6505 	
assault|5942 	asset|7389 	assist|6017 	assume|5979 	asthma|6289 	athlete|6667 	
atom|6969 	attack|7040 	attend|5497 	attitude|6789 	attract|6383 	auction|6313 	
audit|6935 	august|6601 	aunt|5546 	author|5808 	auto|6870 	autumn|5589 	
average|6396 	avocado|7304 	avoid|6334 	awake|5918 	aware|6744 	away|6997 	
awesome|5765 	awful|5855 	awkward|6492 	axis|7196 	baby|6834 	bachelor|6731 	
bacon|7140 	badge|5601 	bag|7372 	balance|6350 	balcony|6692 	ball|6646 	
bamboo|6226 	banana|5686 	banner|7408 	barely|5923 	bargain|6650 	barrel|5511 	
bar|7254 	base|7414 	basic|5515 	basket|7277 	battle|5810 	beach|6585 	
bean|6161 	beauty|6556 	because|7056 	become|5613 	beef|6488 	before|6292 	
begin|6233 	behave|6257 	behind|6558 	believe|6628 	below|7156 	belt|5955 	
bench|5450 	benefit|5981 	best|6794 	betray|6291 	better|5714 	between|5783 	
beyond|5532 	bicycle|6914 	bid|5809 	bike|7309 	bind|6260 	biology|5652 	
bird|6625 	birth|5559 	bitter|6265 	black|6641 	blade|7283 	blame|6134 	
blanket|6980 	blast|6666 	bleak|7205 	bless|5912 	blind|7221 	blood|5553 	
blossom|5572 	blouse|6366 	blue|5637 	blur|6098 	blush|6361 	board|7418 	
boat|7263 	body|6911 	boil|6192 	bomb|7424 	bone|6767 	bonus|5605 	
book|5498 	boost|6218 	border|6246 	boring|5684 	borrow|6674 	boss|5753 	
bottom|7171 	bounce|6131 	box|7217 	boy|6977 	bracket|6784 	brain|6907 	
brand|7299 	brass|6238 	brave|6448 	bread|5586 	breeze|6400 	brick|5990 	
bridge|6209 	brief|6895 	bright|6306 	bring|6808 	brisk|5610 	broccoli|5933 	
broken|7038 	bronze|7103 	broom|6706 	brother|7023 	brown|6170 	brush|6504 	
bubble|7446 	buddy|5617 	budget|5997 	buffalo|5870 	build|5876 	bulb|6206 	
bulk|7068 	bullet|6268 	bundle|6950 	bunker|7111 	burden|6686 	burger|6759 	
burst|7082 	business|5994 	busy|7028 	bus|5651 	butter|6547 	buyer|6194 	
buzz|5475 	cabbage|5491 	cabin|6232 	cable|5658 	cactus|6033 	cage|5594 	
cake|7376 	call|7253 	calm|6799 	camera|6280 	camp|6781 	canal|7331 	
cancel|5789 	candy|7346 	cannon|5593 	canoe|6273 	canvas|6423 	canyon|6393 	
can|6102 	capable|6239 	capital|6272 	captain|5528 	carbon|6979 	card|6685 	
cargo|5900 	carpet|6091 	carry|7447 	cart|6335 	car|6581 	case|5743 	
cash|6434 	casino|6050 	castle|5701 	casual|6166 	catalog|5630 	catch|5869 	
category|5639 	cattle|5963 	cat|5878 	caught|7215 	cause|7362 	caution|6913 	
cave|5725 	ceiling|6831 	celery|6196 	cement|6198 	census|6688 	century|7161 	
cereal|6803 	certain|7355 	chair|6634 	chalk|6597 	champion|7251 	change|7104 	
chaos|5677 	chapter|6818 	charge|6297 	chase|5654 	chat|5663 	cheap|6882 	
check|5853 	cheese|6677 	chef|7233 	cherry|5692 	chest|6337 	chicken|6879 	
chief|7124 	child|6815 	chimney|5499 	choice|6467 	choose|6242 	chronic|7075 	
chuckle|7129 	chunk|5712 	churn|7015 	cigar|6700 	cinnamon|6066 	circle|6569 	
citizen|6797 	city|6285 	civil|6276 	claim|5549 	clap|6684 	clarify|7431 	
claw|6672 	clay|7369 	clean|6379 	clerk|6824 	clever|6507 	click|6905 	
client|7326 	cliff|5757 	climb|5646 	clinic|5665 	clip|7470 	clock|6145 	
clog|5849 	close|7440 	cloth|5443 	cloud|6087 	clown|5760 	club|6675 	
clump|6371 	cluster|5841 	clutch|5767 	coach|6867 	coast|7078 	coconut|5656 	
code|5766 	coffee|5859 	coil|5710 	coin|5489 	collect|5915 	color|6972 	
column|5828 	combine|6851 	come|5494 	comfort|7029 	comic|5781 	common|7047 	
company|6572 	concert|7400 	conduct|6243 	confirm|6330 	congress|6912 	connect|6011 	
consider|6304 	control|6352 	convince|7321 	cook|6618 	cool|7278 	copper|6322 	
copy|7228 	coral|6770 	core|7174 	corn|6299 	correct|6796 	cost|7457 	
cotton|5488 	couch|7474 	country|6006 	couple|7053 	course|6538 	cousin|6252 	
cover|6526 	coyote|5816 	crack|6368 	cradle|6793 	craft|6883 	cram|5717 	
crane|6627 	crash|7090 	crater|6318 	crawl|6988 	crazy|6469 	cream|5877 	
credit|5653 	creek|7244 	crew|7087 	cricket|5730 	crime|6529 	crisp|6898 	
critic|7365 	crop|6159 	cross|6863 	crouch|6079 	crowd|5819 	crucial|6191 	
cruel|6455 	cruise|7142 	crumble|5485 	crunch|6060 	crush|6642 	crystal|6592 	
cry|6630 	cube|6939 	culture|6175 	cupboard|5798 	cup|6497 	curious|5728 	
current|5871 	curtain|5842 	curve|6112 	cushion|6821 	custom|7064 	cute|5526 	
cycle|5611 	dad|7439 	damage|6512 	damp|7043 	dance|6540 	danger|5768 	
daring|5851 	dash|6440 	daughter|5818 	dawn|6533 	day|6680 	deal|5761 	
debate|5638 	debris|7045 	decade|6319 	december|7109 	decide|5662 	decline|7035 	
