2001-09-03-en-bip39-yellow-frantic-fox-encode
abandon|7011 	ability|7256 	able|6602 	about|7369 	above|5782 	absent|6783 	
absorb|5524 	abstract|6744 	absurd|5888 	abuse|6384 	access|7068 	accident|5934 	
account|6533 	accuse|5836 	achieve|6650 	acid|5914 	acoustic|6706 	acquire|6083 	
across|5710 	action|5730 	actor|5616 	actress|6470 	actual|6436 	act|5742 	
adapt|6516 	addict|7056 	address|6042 	add|7290 	adjust|6178 	admit|6338 	
adult|7211 	advance|5824 	advice|6758 	aerobic|5885 	affair|6806 	afford|5564 	
afraid|6520 	again|7423 	agent|7060 	age|5838 	agree|6550 	ahead|6855 	
aim|7327 	airport|5630 	air|7402 	aisle|6507 	alarm|6670 	album|5642 	
alcohol|5869 	alert|7028 	alien|6954 	alley|6554 	allow|5892 	all|7023 	
almost|7308 	alone|5726 	alpha|7022 	already|5831 	also|6453 	alter|5834 	
always|5867 	amateur|5529 	amazing|6956 	among|7071 	amount|6238 	amused|6859 	
analyst|5703 	anchor|7317 	ancient|5617 	anger|6903 	angle|6686 	angry|6179 	
animal|5613 	ankle|5812 	announce|7006 	annual|6315 	another|5466 	answer|5987 	
antenna|6224 	antique|6278 	anxiety|6628 	any|6421 	apart|6418 	apology|5570 	
appear|7020 	apple|6724 	approve|7171 	april|7258 	arch|7306 	arctic|6845 	
area|7448 	arena|7234 	argue|6365 	armed|5673 	armor|6539 	army|6133 	
arm|6547 	around|7105 	arrange|7386 	arrest|7142 	arrive|6423 	arrow|5638 	
artefact|7205 	artist|6412 	artwork|5450 	art|5454 	ask|5608 	aspect|6912 	
assault|7049 	asset|6915 	assist|5772 	assume|5462 	asthma|6987 	athlete|7014 	
atom|6964 	attack|6172 	attend|6101 	attitude|7333 	attract|7067 	auction|5886 	
audit|6098 	august|6623 	aunt|6714 	author|7459 	auto|5947 	autumn|5910 	
average|6646 	avocado|6186 	avoid|6905 	awake|6194 	aware|7209 	away|5685 	
awesome|5517 	awful|6164 	awkward|5923 	axis|6447 	baby|5842 	bachelor|5474 	
bacon|5449 	badge|7085 	bag|6961 	balance|5446 	balcony|5938 	ball|5496 	
bamboo|6564 	banana|6497 	banner|5488 	barely|7229 	bargain|5582 	barrel|6401 	
bar|6018 	base|7302 	basic|7137 	basket|6006 	battle|6321 	beach|5971 	
bean|6137 	beauty|5908 	because|7051 	become|6430 	beef|6405 	before|6587 	
begin|7101 	behave|5513 	behind|7179 	believe|7353 	below|7372 	belt|6951 	
bench|7099 	benefit|7061 	best|5679 	betray|6596 	better|5551 	between|5839 	
beyond|6839 	bicycle|7329 	bid|6047 	bike|5986 	bind|7107 	biology|6264 	
bird|6599 	birth|6780 	bitter|7338 	black|6456 	blade|6226 	blame|5697 	
blanket|7193 	blast|6562 	bleak|5534 	bless|6352 	blind|5748 	blood|6833 	
blossom|6753 	blouse|6455 	blue|5625 	blur|6611 	blush|7080 	board|6135 	
boat|6332 	body|6673 	boil|6163 	bomb|6846 	bone|5587 	bonus|5481 	
book|7277 	boost|7062 	border|5968 	boring|6793 	borrow|6327 	boss|7036 	
bottom|6960 	bounce|5640 	box|6132 	boy|6435 	bracket|5992 	brain|6704 	
brand|6598 	brass|6314 	brave|6935 	bread|6442 	breeze|5557 	brick|5763 	
bridge|6774 	brief|6618 	bright|5800 	bring|5820 	brisk|5443 	broccoli|6295 	
broken|7021 	bronze|6472 	broom|5796 	brother|6216 	brown|6605 	brush|5871 	
bubble|7389 	buddy|6955 	budget|6394 	buffalo|5599 	build|7319 	bulb|7242 	
bulk|7289 	bullet|7291 	bundle|6632 	bunker|6484 	burden|7158 	burger|6121 	
burst|6795 	business|7475 	busy|6031 	bus|5482 	butter|7431 	buyer|6891 	
buzz|5635 	cabbage|6712 	cabin|5682 	cable|6601 	cactus|6243 	cage|6110 	
cake|6299 	call|6406 	calm|5547 	camera|7228 	camp|7041 	canal|5532 	
cancel|5799 	candy|5672 	cannon|6865 	canoe|5674 	canvas|6185 	canyon|6045 	
can|6653 	capable|7248 	capital|6259 	captain|7091 	carbon|5969 	card|5774 	
cargo|5881 	carpet|7384 	carry|6737 	cart|6798 	car|5472 	case|6699 	
cash|7156 	casino|5998 	castle|5586 	casual|7409 	catalog|7125 	catch|6189 	
category|6093 	cattle|7224 	cat|6079 	caught|6811 	cause|5535 	caution|5493 	
cave|5521 	ceiling|6503 	celery|5828 	cement|6930 	census|5963 	century|5732 	
cereal|5704 	certain|6209 	chair|6818 	chalk|5912 	champion|7331 	change|7427 	
chaos|5795 	chapter|6949 	charge|5922 	chase|5526 	chat|6400 	cheap|5911 	
check|5691 	cheese|6944 	chef|7186 	cherry|7257 	chest|5837 	chicken|5945 	
chief|5933 	child|7086 	chimney|6993 	choice|6696 	choose|7040 	chronic|5593 	
chuckle|5476 	chunk|6810 	churn|6546 	cigar|5829 	cinnamon|5615 	circle|6521 	
citizen|6063 	city|6489 	civil|5568 	claim|7336 	clap|6424 	clarify|5788 	
claw|6301 	clay|7298 	clean|7385 	clerk|5436 	clever|5942 	click|6325 	
client|6984 	cliff|5850 	climb|6985 	clinic|5627 	clip|5725 	clock|6882 	
clog|7030 	close|6258 	cloth|5720 	cloud|5711 	clown|6130 	club|7388 	
clump|6754 	cluster|6061 	clutch|6099 	coach|6884 	coast|5739 	coconut|6802 	
code|5785 	coffee|6396 	coil|5435 	coin|7429 	collect|7002 	color|5656 	
column|7005 	combine|6600 	come|7210 	comfort|5797 	comic|7206 	common|6334 	
company|5597 	concert|6569 	conduct|6800 	confirm|5662 	congress|7034 	connect|7063 	
consider|7288 	control|5623 	convince|6571 	cook|5973 	cool|5744 	copper|7243 	
copy|7197 	coral|6501 	core|7314 	corn|7007 	correct|6066 	cost|7444 	
cotton|7175 	couch|7057 	country|5489 	couple|5937 	course|5675 	cousin|6640 	
cover|5453 	coyote|7201 	crack|6989 	cradle|5778 	craft|6705 	cram|5595 	
crane|7078 	crash|6391 	crater|7170 	crawl|5825 	crazy|5572 	cream|6691 	
credit|6039 	creek|6890 	crew|6995 	cricket|5866 	crime|6663 	crisp|5807 	
critic|6494 	crop|6157 	cross|6333 	crouch|6272 	crowd|7420 	crucial|6595 	
cruel|6125 	cruise|5862 	crumble|7472 	crunch|7328 	crush|6579 	crystal|6868 	
cry|5762 	cube|6506 	culture|5724 	cupboard|5965 	cup|6996 	curious|7439 	
current|6932 	curtain|6535 	curve|6202 	cushion|5708 	custom|5554 	cute|7138 	
cycle|5651 	dad|5949 	damage|6545 	damp|6933 	dance|6824 	danger|7259 	
daring|5754 	dash|6893 	daughter|6820 	dawn|6245 	day|6567 	deal|7018 	
debate|5565 	debris|7284 	decade|6900 	december|5492 	decide|6345 	decline|7390 	
decorate|7468 	decrease|5699 	deer|6141 	defense|5767 	define|6947 	defy|6009 	
degree|5853 	delay|6403 	deliver|7136 	demand|6654 	demise|6281 	denial|5775 	
dentist|5855 	deny|6525 	depart|6782 	depend|6588 	deposit|5780 	depth|6428 	
deputy|6735 	derive|6896 	describe|7031 	desert|5743 	design|5531 	desk|5644 	
despair|7100 	destroy|6514 	detail|7449 	detect|5549 	develop|6019 	device|5727 	
devote|6953 	diagram|7452 	dial|7324 	diamond|7346 	diary|5480 	dice|6680 	
diesel|7217 	diet|6666 	differ|6551 	digital|7395 	dignity|5590 	dilemma|7457 	
dinner|7273 	dinosaur|6465 	direct|6701 	dirt|6853 	disagree|5802 	discover|7360 	
disease|6817 	dish|6410 	dismiss|7173 	disorder|6037 	display|6395 	distance|7276 	
divert|6223 	divide|6438 	divorce|6398 	dizzy|6404 	doctor|6826 	document|6828 	
dog|6916 	doll|7140 	dolphin|5975 	domain|6979 	donate|6174 	donkey|6069 	
donor|5445 	door|7476 	dose|5999 	double|6693 	dove|6399 	draft|6608 	
dragon|6280 	drama|6700 	drastic|6968 	draw|7069 	dream|6838 	dress|6343 	
drift|5459 	drill|5848 	drink|5688 	drip|6808 	drive|6988 	drop|7000 	
drum|6198 	dry|6629 	duck|5438 	dumb|6692 	dune|6072 	during|6746 	
dust|5861 	dutch|6756 	duty|6743 	dwarf|6473 	dynamic|6052 	eager|6914 	
eagle|6273 	early|7462 	earn|6723 	earth|7236 	easily|7376 	east|6767 	
easy|6983 	echo|7075 	ecology|6100 	economy|7238 	edge|6000 	edit|7003 	
educate|6310 	effort|5790 	egg|6469 	eight|7460 	either|6211 	elbow|6127 	
elder|7096 	electric|7434 	elegant|6214 	element|5561 	elephant|6901 	elevator|5491 	
elite|5440 	else|5539 	embark|5528 	embody|7412 	embrace|5540 	emerge|6199 	
emotion|5939 	employ|6761 	empower|6719 	empty|7466 	enable|6145 	enact|7387 	
endless|6095 	endorse|5705 	end|7428 	enemy|6222 	energy|7304 	enforce|6454 	
engage|6046 	engine|5741 	enhance|6215 	enjoy|6529 	enlist|6965 	enough|5451 	
enrich|7355 	enroll|6747 	ensure|5543 	enter|7039 	entire|5538 	entry|6819 	
envelope|5460 	episode|5970 	equal|7215 	equip|6190 	erase|5556 	era|5478 	
erode|7132 	erosion|6184 	error|6206 	erupt|7381 	escape|6555 	essay|6171 	
essence|6017 	estate|6104 	eternal|6768 	ethics|6512 	evidence|6062 	evil|6796 	
evoke|6440 	evolve|5857 	exact|7432 	example|5810 	excess|6860 	exchange|6902 	
excite|6863 	exclude|7438 	excuse|7461 	execute|7199 	exercise|5652 	exhaust|6495 	
exhibit|7443 	exile|5441 	exist|6351 	exit|5789 	exotic|7426 	expand|6576 	
expect|6153 	expire|6835 	explain|7253 	expose|7300 	express|5683 	extend|7261 	
extra|7084 	eyebrow|6637 	eye|5833 	fabric|6437 	face|5745 	faculty|6710 	
fade|6834 	faint|7368 	faith|5823 	fall|7255 	false|7313 	fame|6877 	
family|5956 	famous|5591 	fancy|6217 	fantasy|5536 	fan|6467 	farm|5542 	
fashion|5701 	fatal|5609 	father|6004 	fatigue|6080 	fat|6633 	fault|6026 	
favorite|5900 	feature|6361 	february|5692 	federal|6021 	feed|7187 	feel|6188 	
fee|7359 	female|5907 	fence|7415 	festival|6771 	fetch|5715 	fever|7441 	
few|7463 	fiber|6907 	fiction|6639 	field|6821 	figure|6676 	file|5606 	
film|5994 	filter|6372 	final|7311 	find|6117 	fine|6493 	finger|7042 	
finish|5702 	fire|5946 	firm|7383 	first|5832 	fiscal|6958 	fish|5909 	
fitness|6350 	fit|7012 	fix|5927 	flag|6378 	flame|7465 	flash|5509 	
flat|6390 	flavor|5787 	flee|7148 	flight|6168 	flip|6078 	float|5821 	
flock|7440 	floor|6446 	flower|5817 	fluid|5607 	flush|6831 	fly|6027 	
foam|7436 	focus|7128 	fog|5954 	foil|7044 	fold|7161 	follow|5494 	
food|6005 	foot|7095 	force|5958 	forest|6847 	forget|6908 	fork|6581 	
fortune|6286 	forum|6938 	forward|5883 	fossil|6941 	foster|6816 	found|7102 	
fox|5576 	fragile|6959 	frame|6875 	frequent|5766 	fresh|5894 	friend|6797 	
fringe|6867 	frog|7045 	front|6698 	frost|6409 	frown|7299 	frozen|5713 	
fruit|6340 	fuel|7405 	funny|6677 	fun|6150 	furnace|7363 	fury|6524 	
future|5776 	gadget|6218 	gain|6540 	galaxy|5920 	gallery|5806 	game|6565 	
