1777-04-28-en-bip39-orange-concerned-beaver-encode
abandon|5684 	ability|7297 	able|6441 	about|6063 	above|7253 	absent|6246 	
absorb|6971 	abstract|6129 	absurd|6907 	abuse|7171 	access|6794 	accident|5729 	
account|6002 	accuse|6412 	achieve|5995 	acid|5837 	acoustic|6710 	acquire|6232 	
across|6491 	action|7121 	actor|7257 	actress|5436 	actual|7379 	act|6835 	
adapt|6786 	addict|5590 	address|6361 	add|6139 	adjust|5509 	admit|7304 	
adult|5461 	advance|7219 	advice|6816 	aerobic|6605 	affair|6880 	afford|7132 	
afraid|7368 	again|5565 	agent|6844 	age|6254 	agree|7055 	ahead|6048 	
aim|5476 	airport|6596 	air|6241 	aisle|5498 	alarm|6793 	album|5844 	
alcohol|5762 	alert|5804 	alien|5569 	alley|6884 	allow|5605 	all|6594 	
almost|6963 	alone|6904 	alpha|5746 	already|7042 	also|7063 	alter|5813 	
always|5633 	amateur|6663 	amazing|6124 	among|6365 	amount|6439 	amused|5647 	
analyst|7099 	anchor|6031 	ancient|6291 	anger|6319 	angle|5553 	angry|6886 	
animal|6548 	ankle|7283 	announce|7167 	annual|6598 	another|6276 	answer|5512 	
antenna|6565 	antique|6146 	anxiety|6288 	any|6686 	apart|6462 	apology|6778 	
appear|6223 	apple|6858 	approve|6842 	april|6603 	arch|7080 	arctic|6037 	
area|7124 	arena|5806 	argue|7177 	armed|6456 	armor|5772 	army|6629 	
arm|6468 	around|6417 	arrange|5598 	arrest|7000 	arrive|5465 	arrow|5651 	
artefact|7225 	artist|5780 	artwork|7050 	art|6549 	ask|5823 	aspect|5867 	
assault|5984 	asset|6209 	assist|6438 	assume|7391 	asthma|5639 	athlete|7349 	
atom|5829 	attack|7266 	attend|7011 	attitude|7340 	attract|7270 	auction|6454 	
audit|5526 	august|7243 	aunt|6005 	author|7250 	auto|5466 	autumn|5923 	
average|6718 	avocado|5708 	avoid|7009 	awake|5811 	aware|5573 	away|6825 	
awesome|7221 	awful|6826 	awkward|7238 	axis|6201 	baby|7004 	bachelor|6728 	
bacon|7291 	badge|5580 	bag|6423 	balance|5658 	balcony|7012 	ball|6520 	
bamboo|5648 	banana|6538 	banner|6001 	barely|6986 	bargain|6630 	barrel|6337 	
bar|6413 	base|5450 	basic|7298 	basket|6083 	battle|6182 	beach|7095 	
bean|7161 	beauty|6513 	because|5689 	become|6974 	beef|5851 	before|6965 	
begin|7331 	behave|6727 	behind|6387 	believe|6671 	below|7369 	belt|6240 	
bench|5678 	benefit|6301 	best|6530 	betray|7081 	better|5503 	between|7389 	
beyond|5502 	bicycle|7333 	bid|7473 	bike|6536 	bind|6195 	biology|6162 	
bird|6143 	birth|6486 	bitter|5653 	black|7342 	blade|5936 	blame|6614 	
blanket|7105 	blast|5690 	bleak|6190 	bless|6014 	blind|6997 	blood|6936 	
blossom|6317 	blouse|5470 	blue|6555 	blur|7137 	blush|6813 	board|7138 	
boat|6347 	body|5848 	boil|7354 	bomb|6561 	bone|5722 	bonus|6256 	
book|7150 	boost|5608 	border|6529 	boring|6775 	borrow|5433 	boss|5952 	
bottom|6330 	bounce|7026 	box|6194 	boy|6044 	bracket|7097 	brain|6643 	
brand|6763 	brass|6167 	brave|6187 	bread|6818 	breeze|6065 	brick|6264 	
bridge|6604 	brief|5675 	bright|7414 	bring|6885 	brisk|7474 	broccoli|7130 	
broken|6485 	bronze|6959 	broom|6285 	brother|6716 	brown|6338 	brush|7455 	
bubble|7269 	buddy|5437 	budget|6116 	buffalo|5518 	build|7206 	bulb|6188 	
bulk|5847 	bullet|6754 	bundle|6176 	bunker|6379 	burden|6684 	burger|6378 	
burst|7087 	business|7023 	busy|5978 	bus|6042 	butter|5895 	buyer|5933 	
buzz|7248 	cabbage|6948 	cabin|5713 	cable|7145 	cactus|7467 	cage|5736 	
cake|7189 	call|6464 	calm|7061 	camera|6812 	camp|6377 	canal|6015 	
cancel|6692 	candy|6977 	cannon|6910 	canoe|6654 	canvas|6656 	canyon|5913 	
can|6737 	capable|5778 	capital|5935 	captain|6458 	carbon|5693 	card|5985 	
cargo|7399 	carpet|5592 	carry|6382 	cart|6249 	car|5912 	case|7117 	
cash|6696 	casino|6563 	castle|7348 	casual|5728 	catalog|6969 	catch|5432 	
category|5720 	cattle|5491 	cat|5481 	caught|6745 	cause|6811 	caution|7133 	
cave|6470 	ceiling|7459 	celery|5691 	cement|7306 	census|6930 	century|5623 	
cereal|7301 	certain|7452 	chair|7303 	chalk|7262 	champion|6094 	change|7387 	
chaos|6670 	chapter|6559 	charge|6870 	chase|6498 	chat|6197 	cheap|6659 	
check|5906 	cheese|6340 	chef|5520 	cherry|5859 	chest|6898 	chicken|6732 	
chief|6943 	child|5567 	chimney|5642 	choice|5869 	choose|7261 	chronic|6084 	
chuckle|5700 	chunk|6700 	churn|6401 	cigar|6424 	cinnamon|7215 	circle|6081 	
citizen|6535 	city|6722 	civil|6889 	claim|6216 	clap|5838 	clarify|6784 	
claw|5776 	clay|5676 	clean|6011 	clerk|5683 	clever|7264 	click|5530 	
client|5973 	cliff|6645 	climb|6876 	clinic|6018 	clip|6420 	clock|7060 	
clog|6333 	close|6923 	cloth|5485 	cloud|7462 	clown|7311 	club|5445 	
