1770-08-20-en-bip39-red-distinct-antelope-encode
abandon|5513 	ability|6452 	able|6364 	about|6167 	above|7473 	absent|6454 	
absorb|7235 	abstract|5558 	absurd|7333 	abuse|5987 	access|6895 	accident|6108 	
account|7151 	accuse|6534 	achieve|5873 	acid|6569 	acoustic|5961 	acquire|5583 	
across|6607 	action|5922 	actor|5584 	actress|6716 	actual|5719 	act|6597 	
adapt|6200 	addict|6126 	address|5536 	add|5888 	adjust|7365 	admit|6558 	
adult|5609 	advance|7455 	advice|5777 	aerobic|7440 	affair|6520 	afford|6401 	
afraid|7172 	again|6670 	agent|6941 	age|7471 	agree|6410 	ahead|5521 	
aim|6835 	airport|5891 	air|5479 	aisle|5884 	alarm|5544 	album|6665 	
alcohol|6094 	alert|5753 	alien|7298 	alley|5807 	allow|7196 	all|7202 	
almost|6617 	alone|7096 	alpha|6462 	already|6885 	also|5876 	alter|5918 	
always|5543 	amateur|7149 	amazing|7252 	among|6225 	amount|5846 	amused|5809 	
analyst|6874 	anchor|7329 	ancient|6653 	anger|5505 	angle|6706 	angry|7394 	
animal|6300 	ankle|6605 	announce|6033 	annual|7142 	another|6645 	answer|5738 	
antenna|6959 	antique|6563 	anxiety|5724 	any|5478 	apart|7445 	apology|6731 	
appear|7204 	apple|5611 	approve|6787 	april|5623 	arch|6245 	arctic|6924 	
area|5730 	arena|5463 	argue|6933 	armed|5499 	armor|5957 	army|6781 	
arm|6576 	around|5728 	arrange|5796 	arrest|6996 	arrive|6779 	arrow|7084 	
artefact|6229 	artist|6427 	artwork|6010 	art|5711 	ask|6797 	aspect|7388 	
assault|5875 	asset|5952 	assist|6932 	assume|7334 	asthma|6383 	athlete|5628 	
atom|7054 	attack|6727 	attend|5856 	attitude|6972 	attract|6551 	auction|5682 	
audit|5717 	august|6370 	aunt|7451 	author|6104 	auto|7102 	autumn|6771 	
average|6440 	avocado|5518 	avoid|6928 	awake|5877 	aware|7382 	away|5932 	
awesome|6052 	awful|5768 	awkward|6618 	axis|7100 	baby|7340 	bachelor|6093 	
bacon|7312 	badge|6005 	bag|6986 	balance|7032 	balcony|5782 	ball|6842 	
bamboo|6743 	banana|5745 	banner|7109 	barely|7158 	bargain|5773 	barrel|7435 	
bar|6298 	base|7427 	basic|6310 	basket|5605 	battle|5553 	beach|6166 	
bean|6455 	beauty|6697 	because|6438 	become|7368 	beef|6891 	before|6961 	
begin|6536 	behave|6837 	behind|6028 	believe|5854 	below|5592 	belt|5517 	
bench|5596 	benefit|7049 	best|5557 	betray|5462 	better|7390 	between|7422 	
beyond|6785 	bicycle|6419 	bid|6930 	bike|5515 	bind|7091 	biology|7338 	
bird|6144 	birth|7079 	bitter|6515 	black|7328 	blade|5579 	blame|6614 	
blanket|7240 	blast|6745 	bleak|5988 	bless|6214 	blind|5534 	blood|5471 	
blossom|6503 	blouse|7159 	blue|6453 	blur|6547 	blush|6854 	board|5458 	
boat|6937 	body|6956 	boil|5857 	bomb|7173 	bone|5541 	bonus|5629 	
book|6158 	boost|5978 	border|7034 	boring|7279 	borrow|6748 	boss|5710 	
bottom|5537 	bounce|6264 	box|6291 	boy|5755 	bracket|5939 	brain|6285 	
brand|5941 	brass|7006 	brave|6023 	bread|7253 	breeze|5981 	brick|7162 	
bridge|5621 	brief|6409 	bright|6763 	bring|7044 	brisk|6420 	broccoli|5847 	
broken|7136 	bronze|6268 	broom|6278 	brother|7433 	brown|5970 	brush|6687 	
bubble|6577 	buddy|5445 	budget|5644 	buffalo|5679 	build|5814 	bulb|5473 	
bulk|7409 	bullet|6784 	bundle|5831 	bunker|5916 	burden|6188 	burger|5602 	
burst|6392 	business|5923 	busy|6399 	bus|6481 	butter|7113 	buyer|6545 	
buzz|5560 	cabbage|7167 	cabin|7078 	cable|5533 	cactus|5958 	cage|6850 	
cake|6088 	call|7284 	calm|7146 	camera|7080 	camp|5444 	canal|7354 	
cancel|5845 	candy|7323 	cannon|6296 	canoe|6202 	canvas|6184 	canyon|5997 	
can|7268 	capable|6474 	capital|6194 	captain|6228 	carbon|5601 	card|6934 	
cargo|6014 	carpet|6732 	carry|5780 	cart|5736 	car|6970 	case|7156 	
cash|5885 	casino|5659 	castle|7053 	casual|7343 	catalog|6281 	catch|5492 	
category|7164 	cattle|7450 	cat|5600 	caught|7130 	cause|7198 	caution|6908 	
cave|7295 	ceiling|5964 	celery|5883 	cement|5840 	census|5634 	century|6995 	
cereal|6320 	certain|6398 	chair|5714 	chalk|7352 	champion|6435 	change|6270 	
chaos|6064 	chapter|6686 	charge|6069 	chase|6414 	chat|7217 	cheap|5641 	
check|7012 	cheese|6806 	chef|5879 	cherry|7058 	chest|5886 	chicken|6586 	
chief|6892 	child|6491 	chimney|7318 	choice|5575 	choose|6535 	chronic|6615 	
chuckle|6232 	chunk|5454 	churn|6224 	cigar|6925 	cinnamon|7404 	circle|5654 	
citizen|6317 	city|5540 	civil|5821 	claim|6222 	clap|6361 	clarify|6852 	
claw|6713 	clay|6429 	clean|5822 	clerk|6328 	clever|7282 	click|7186 	
client|7395 	cliff|6106 	climb|5563 	clinic|6423 	clip|6596 	clock|6176 	
clog|5439 	close|5948 	cloth|5842 	cloud|6384 	clown|5657 	club|6487 	
clump|6620 	cluster|7286 	clutch|6180 	coach|5772 	coast|7454 	coconut|6688 	
code|6269 	coffee|6227 	coil|6612 	coin|6994 	collect|6604 	color|5798 	
column|7362 	combine|6123 	come|6871 	comfort|7430 	comic|6479 	common|5671 	
company|7015 	concert|5482 	conduct|7184 	confirm|5504 	congress|5559 	connect|6991 	
consider|6136 	control|6058 	convince|7255 	cook|5637 	cool|6679 	copper|5606 	
copy|6518 	coral|7061 	core|7375 	corn|5762 	correct|5675 	cost|7263 	
cotton|5460 	couch|5661 	country|7301 	couple|6303 	course|5512 	cousin|6868 	
cover|6829 	coyote|5817 	crack|6863 	cradle|7289 	craft|7132 	cram|7036 	
crane|6045 	crash|6280 	crater|5656 	crawl|6673 	crazy|7095 	cream|5450 	
credit|5549 	creek|6322 	crew|5775 	cricket|6391 	crime|5701 	crisp|7220 	
critic|5470 	crop|5704 	cross|6772 	crouch|5699 	crowd|5960 	crucial|7385 	
cruel|7327 	cruise|6998 	crumble|6561 	crunch|5903 	crush|7177 	crystal|5477 	
cry|6114 	cube|6557 	culture|6242 	cupboard|5743 	cup|6475 	curious|6385 	
current|5915 	curtain|7374 	curve|6539 	cushion|6584 	custom|5530 	cute|5524 	
cycle|6940 	dad|7248 	damage|7120 	damp|7270 	dance|6101 	danger|7348 	
daring|7020 	dash|5542 	daughter|6575 	dawn|6839 	day|7407 	deal|5904 	
debate|6340 	debris|6068 	decade|5733 	december|5510 	decide|5953 	decline|7137 	
decorate|6284 	decrease|5614 	deer|5737 	defense|5703 	define|5632 	defy|6562 	
degree|5925 	delay|5726 	deliver|7160 	demand|6725 	demise|5461 	denial|7475 	
dentist|6587 	deny|5793 	depart|6776 	depend|6110 	deposit|5851 	depth|6813 	
deputy|6841 	derive|7342 	describe|5677 	desert|6838 	design|5437 	desk|6507 	
despair|5665 	destroy|6691 	detail|6139 	detect|7155 	develop|7265 	device|5805 	
devote|5938 	diagram|6975 	dial|5577 	diamond|7357 	diary|7442 	dice|7250 	
diesel|5514 	diet|6111 	differ|7278 	digital|6306 	dignity|6495 	dilemma|6308 	
dinner|6674 	dinosaur|6902 	direct|5620 	dirt|5900 	disagree|5468 	discover|5453 	
disease|7181 	dish|6210 	dismiss|6084 	disorder|6267 	display|5481 	distance|7101 	
divert|7073 	divide|6724 	divorce|5625 	dizzy|6465 	doctor|6354 	document|5803 	
dog|6823 	doll|7038 	dolphin|7213 	domain|6896 	donate|6408 	donkey|6460 	
donor|5664 	door|5725 	dose|5810 	double|5448 	dove|7238 	draft|5522 	
dragon|5829 	drama|6155 	drastic|6987 	draw|7163 	dream|6525 	dress|5776 	
drift|5920 	drill|6318 	drink|7259 	drip|6377 	drive|5578 	drop|5546 	
drum|7007 	dry|5603 	duck|6865 	dumb|5765 	dune|5700 	during|5695 	
dust|6701 	dutch|6421 	duty|7122 	dwarf|5722 	dynamic|5830 	eager|6333 	
eagle|6341 	early|6248 	earn|6911 	earth|5859 	easily|7197 	east|5616 	
easy|6782 	echo|6289 	ecology|5849 	economy|7067 	edge|6484 	edit|6275 	
educate|6416 	effort|6143 	egg|5705 	eight|6877 	either|6544 	elbow|5893 	
elder|6639 	electric|6711 	elegant|7383 	element|6740 	elephant|7214 	elevator|7283 	
elite|6128 	else|6878 	embark|6762 	embody|5895 	embrace|7223 	emerge|6872 	
emotion|7118 	employ|5863 	empower|6888 	empty|6099 	enable|5800 	enact|6029 	
endless|7393 	endorse|6366 	end|5912 	enemy|6148 	energy|7322 	enforce|6632 	
engage|5990 	engine|6447 	enhance|6159 	enjoy|6746 	enlist|5652 	enough|7121 	
enrich|6635 	enroll|7429 	ensure|7377 	enter|6807 	entire|6637 	entry|6603 	
envelope|6903 	episode|5763 	equal|6820 	equip|5503 	erase|5929 	era|5562 	
erode|5502 	erosion|7411 	error|7277 	erupt|5555 	escape|5497 	essay|6531 	
essence|6103 	estate|6960 	eternal|6546 	ethics|5832 	evidence|7274 	evil|5526 	
evoke|5538 	evolve|6116 	exact|6843 	example|5811 	excess|6081 	exchange|6169 	
excite|5506 	exclude|7114 	excuse|5633 	execute|6138 	exercise|5858 	exhaust|6733 	
exhibit|7211 	exile|5588 	exist|6115 	exit|6744 	exotic|6666 	expand|5683 	
expect|7023 	expire|6775 	explain|5572 	expose|7269 	express|6680 	extend|7105 	
extra|5556 	eyebrow|5622 	eye|5919 	fabric|6178 	face|7366 	faculty|6145 	
fade|7460 	faint|6788 	faith|6238 	fall|5862 	false|6640 	fame|6949 	
family|7303 	famous|5496 	fancy|7392 	fantasy|6646 	fan|7370 	farm|6980 	
fashion|7098 	fatal|6722 	father|6882 	fatigue|6253 	fat|5965 	fault|5713 	
favorite|5744 	feature|7232 	february|6302 	federal|5802 	feed|7190 	feel|6187 	
fee|6819 	female|5680 	fence|6031 	festival|6053 	fetch|5999 	fever|6230 	
few|6682 	fiber|5865 	fiction|6261 	field|5907 	figure|7192 	file|6433 	
film|6530 	filter|6999 	final|7254 	find|6041 	fine|5635 	finger|6931 	
finish|5937 	fire|6950 	firm|7112 	first|5784 	fiscal|6588 	fish|5464 	
fitness|6124 	fit|5975 	fix|6182 	flag|5570 	flame|7463 	flash|5646 	
flat|6922 	flavor|6283 	flee|5977 	flight|6566 	flip|7170 	float|5982 	
flock|7117 	floor|6513 	flower|5834 	fluid|7408 	flush|6262 	fly|7081 	
foam|6190 	focus|6914 	fog|5898 	foil|7051 	fold|6011 	follow|6652 	
food|5693 	foot|5747 	force|5839 	forest|7070 	forget|5687 	fork|6235 	
fortune|6864 	forum|6997 	forward|5959 	fossil|6473 	foster|5565 	found|7208 	
fox|5947 	fragile|5835 	frame|6049 	frequent|6537 	fresh|6089 	friend|6070 	
fringe|6907 	frog|5926 	front|6624 	frost|7339 	frown|6009 	frozen|6661 	
fruit|7145 	fuel|6002 	funny|5619 	fun|6783 	furnace|6073 	fury|6767 	
future|7087 	gadget|5911 	gain|6448 	galaxy|5837 	gallery|6541 	game|6299 	
gap|6861 	garage|5956 	garbage|7453 	garden|6117 	garlic|5647 	garment|5892 	
gasp|7116 	gas|5756 	gate|5804 	gather|6312 	gauge|6583 	gaze|5698 	
general|5928 	genius|6578 	genre|5812 	gentle|6590 	genuine|5658 	gesture|7239 	
ghost|6062 	giant|6162 	gift|6521 	giggle|6728 	ginger|7320 	giraffe|7063 	
girl|6488 	give|5590 	glad|6522 	glance|6077 	glare|7432 	glass|7092 	
glide|5674 	glimpse|7358 	globe|6978 	gloom|7304 	glory|7350 	glove|6936 	
glow|5823 	glue|6946 	goat|6150 	goddess|7234 	gold|5880 	good|5806 	
goose|5838 	gorilla|6765 	gospel|5871 	gossip|6859 	govern|6671 	gown|7021 	
grab|5585 	grace|6598 	grain|5640 	grant|7216 	grape|6386 	grass|6247 	
gravity|6497 	great|6252 	green|6848 	grid|6633 	grief|5668 	grit|6709 	
grocery|7178 	group|6761 	grow|5443 	grunt|6083 	guard|6985 	guess|7444 	
guide|6749 	guilt|5825 	guitar|7056 	gun|6523 	gym|5670 	habit|7243 	
hair|5709 	half|7347 	hammer|6890 	hamster|6082 	hand|6901 	happy|5878 	
harbor|6554 	hard|5501 	harsh|6032 	harvest|6703 	hat|6824 	have|6834 	
hawk|7386 	hazard|6272 	head|6668 	health|6342 	heart|5604 	heavy|7330 	
hedgehog|6964 	height|6048 	hello|6198 	helmet|5653 	help|6977 	hen|5860 	
hero|5969 	hidden|6205 	high|6185 	hill|6381 	hint|6778 	hip|6560 	
hire|7335 	history|7230 	hobby|6105 	hockey|5618 	hold|7219 	hole|7261 	
holiday|6127 	hollow|5446 	home|7361 	honey|6832 	hood|5459 	hope|5689 	
horn|7376 	horror|6400 	horse|5720 	hospital|7138 	host|5752 	hotel|7107 	
hour|6581 	hover|5973 	hub|6747 	huge|6945 	human|6134 	humble|6804 	
humor|6812 	hundred|7019 	hungry|5712 	hunt|5532 	hurdle|7064 	hurry|5519 	
hurt|6647 	husband|5971 	hybrid|6266 	ice|7126 	icon|6012 	idea|7419 	
identify|7398 	idle|6886 	ignore|5525 	illegal|6199 	illness|6699 	ill|7346 	
image|6251 	imitate|5672 	immense|5844 	immune|6358 	impact|7449 	impose|5946 	
improve|7367 	impulse|7447 	inch|7420 	include|7468 	income|6509 	increase|6325 	
index|5827 	indicate|5870 	indoor|6947 	industry|7297 	infant|5746 	inflict|5899 	
inform|6613 	inhale|6221 	inherit|5794 	initial|6003 	inject|7456 	injury|6955 	
inmate|7387 	inner|5944 	innocent|7363 	input|5643 	inquiry|6001 	insane|5924 	
insect|5828 	inside|6263 	inspire|5523 	install|7154 	intact|5433 	interest|6135 	
into|7195 	invest|5551 	invite|5994 	involve|7345 	iron|5564 	island|6057 	
isolate|5983 	issue|6760 	item|6189 	ivory|5850 	jacket|6663 	jaguar|7201 	
jar|6345 	jazz|7431 	jealous|7210 	jeans|6109 	jelly|6729 	jewel|7400 	
job|6098 	join|5992 	joke|7302 	journey|5642 	joy|5715 	judge|5702 	
juice|6579 	jump|6119 	jungle|6900 	junior|6774 	junk|6649 	just|7090 	
kangaroo|7119 	keen|7143 	keep|5881 	ketchup|6186 	key|6337 	kick|5986 	
kidney|6526 	kid|6387 	kind|5491 	kingdom|5874 	kiss|7423 	kitchen|6500 	
kite|5786 	kitten|6769 	kit|5867 	kiwi|6218 	knee|6369 	knife|5963 	
knock|6853 	know|5788 	label|5451 	labor|6412 	lab|5662 	ladder|6129 	
lady|5861 	lake|5485 	lamp|6301 	language|6641 	laptop|6611 	large|6451 	
later|7381 	latin|6206 	laugh|6490 	laundry|5696 	lava|5824 	lawn|6533 	
lawsuit|6265 	law|5589 	layer|5613 	lazy|5795 	leader|7229 	leaf|5608 	
learn|7013 	leave|5550 	lecture|5974 	left|7005 	legal|7166 	legend|7285 	
leg|6367 	leisure|6792 	lemon|5432 	lend|6921 	length|7465 	lens|7275 	
