1774-08-08-en-bip39-yellow-inquisitive-cowfish-encode
abandon|6258 	ability|5824 	able|5669 	about|6683 	above|6436 	absent|7445 	
absorb|5884 	abstract|7037 	absurd|5687 	abuse|6796 	access|7120 	accident|7315 	
account|6672 	accuse|7312 	achieve|5941 	acid|7273 	acoustic|5667 	acquire|5904 	
across|6665 	action|7344 	actor|5774 	actress|6752 	actual|5617 	act|6860 	
adapt|7254 	addict|6373 	address|5946 	add|6274 	adjust|7127 	admit|6313 	
adult|5613 	advance|6126 	advice|6906 	aerobic|5453 	affair|6381 	afford|6762 	
afraid|6956 	again|6867 	agent|7164 	age|7250 	agree|5535 	ahead|6166 	
aim|5746 	airport|6838 	air|6254 	aisle|6641 	alarm|7099 	album|7281 	
alcohol|6167 	alert|6031 	alien|6696 	alley|6782 	allow|6340 	all|6777 	
almost|5754 	alone|5490 	alpha|5756 	already|5647 	also|5668 	alter|6085 	
always|5699 	amateur|5826 	amazing|6678 	among|6502 	amount|5773 	amused|6658 	
analyst|5877 	anchor|7029 	ancient|7070 	anger|6817 	angle|6509 	angry|6942 	
animal|5546 	ankle|6516 	announce|6805 	annual|5444 	another|6902 	answer|7304 	
antenna|6116 	antique|5755 	anxiety|6371 	any|7074 	apart|7188 	apology|6882 	
appear|5706 	apple|6466 	approve|5439 	april|6186 	arch|7180 	arctic|6660 	
area|5516 	arena|5550 	argue|6377 	armed|6630 	armor|6699 	army|6105 	
arm|7203 	around|5643 	arrange|5700 	arrest|6726 	arrive|5508 	arrow|7447 	
artefact|6802 	artist|5671 	artwork|6884 	art|6157 	ask|6827 	aspect|7294 	
assault|6090 	asset|7367 	assist|5882 	assume|7000 	asthma|6335 	athlete|5727 	
atom|6396 	attack|7251 	attend|6897 	attitude|7175 	attract|7277 	auction|7126 	
audit|6622 	august|6420 	aunt|5437 	author|6606 	auto|5741 	autumn|6575 	
average|7280 	avocado|5596 	avoid|5581 	awake|6336 	aware|5557 	away|6075 	
awesome|5542 	awful|7107 	awkward|6054 	axis|6895 	baby|6457 	bachelor|6301 	
bacon|6824 	badge|7327 	bag|7363 	balance|6909 	balcony|6936 	ball|6934 	
bamboo|7259 	banana|6760 	banner|7401 	barely|7046 	bargain|6168 	barrel|5806 	
bar|5504 	base|6252 	basic|6609 	basket|5463 	battle|5612 	beach|7241 	
bean|6776 	beauty|5457 	because|7430 	become|7370 	beef|7345 	before|6187 	
begin|7021 	behave|7051 	behind|5445 	believe|7440 	below|7239 	belt|7410 	
bench|5750 	benefit|6638 	best|6945 	betray|7428 	better|5713 	between|6472 	
beyond|6448 	bicycle|6544 	bid|7245 	bike|7080 	bind|5459 	biology|6593 	
bird|5594 	birth|5848 	bitter|5842 	black|6078 	blade|5930 	blame|5947 	
blanket|6914 	blast|6368 	bleak|7092 	bless|7347 	blind|6412 	blood|6858 	
blossom|6383 	blouse|5501 	blue|6439 	blur|6833 	blush|7272 	board|6069 	
boat|6278 	body|5928 	boil|6207 	bomb|6419 	bone|7105 	bonus|6714 	
book|7457 	boost|5769 	border|5436 	boring|6387 	borrow|5693 	boss|6819 	
bottom|6044 	bounce|6211 	box|6888 	boy|6333 	bracket|7102 	brain|6037 	
brand|5841 	brass|7053 	brave|5855 	bread|6323 	breeze|5547 	brick|7185 	
bridge|5992 	brief|7012 	bright|6812 	bring|7145 	brisk|7081 	broccoli|7079 	
broken|5820 	bronze|5859 	broom|6745 	brother|6118 	brown|5977 	brush|5462 	
bubble|5503 	buddy|5748 	budget|5780 	buffalo|6655 	build|7134 	bulb|6585 	
bulk|6421 	bullet|6331 	bundle|6903 	bunker|6220 	burden|6415 	burger|6484 	
burst|5715 	business|7229 	busy|7022 	bus|5918 	butter|6637 	buyer|7024 	
buzz|7467 	cabbage|7061 	cabin|6515 	cable|5864 	cactus|7243 	cage|6863 	
cake|7071 	call|5857 	calm|5466 	camera|5556 	camp|5743 	canal|5979 	
cancel|5655 	candy|6857 	cannon|6434 	canoe|5572 	canvas|6471 	canyon|6780 	
can|7058 	capable|7390 	capital|5996 	captain|5775 	carbon|6713 	card|7103 	
cargo|6232 	carpet|6771 	carry|6642 	cart|5954 	car|6113 	case|6659 	
cash|6380 	casino|6620 	castle|5839 	casual|7222 	catalog|7320 	catch|6240 	
category|6859 	cattle|6177 	cat|6290 	caught|5725 	cause|5560 	caution|6365 	
cave|5623 	ceiling|6363 	celery|6223 	cement|7174 	census|5507 	century|6517 	
cereal|6500 	certain|5620 	chair|6051 	chalk|5879 	champion|6915 	change|6741 	
chaos|6032 	chapter|6124 	charge|6555 	chase|6092 	chat|5461 	cheap|5907 	
check|6554 	cheese|5511 	chef|6590 	cherry|7412 	chest|5813 	chicken|7123 	
chief|7117 	child|6682 	chimney|6213 	choice|6438 	choose|7267 	chronic|5971 	
chuckle|6013 	chunk|5656 	churn|6188 	cigar|5582 	cinnamon|7342 	circle|6443 	
citizen|6639 	city|6503 	civil|6152 	claim|7328 	clap|5758 	clarify|7025 	
claw|7336 	clay|5676 	clean|5475 	clerk|6629 	clever|5606 	click|6295 	
client|7227 	cliff|6260 	climb|5609 	clinic|7348 	clip|7057 	clock|6751 	
clog|6456 	close|6264 	cloth|6479 	cloud|5446 	clown|5860 	club|6114 	
clump|6951 	cluster|6181 	clutch|6664 	coach|5664 	coast|6362 	coconut|6689 	
code|6006 	coffee|5782 	coil|7173 	coin|6645 	collect|5682 	color|6552 	
column|6065 	combine|6861 	come|6339 	comfort|6879 	comic|6095 	common|6370 	
company|6342 	concert|5464 	conduct|5522 	confirm|5798 	congress|5697 	connect|6519 	
consider|6768 	control|7468 	convince|6294 	cook|6045 	cool|5799 	copper|7244 	
copy|6012 	coral|6586 	core|7466 	corn|5876 	correct|5698 	cost|6894 	
cotton|5829 	couch|7329 	country|6778 	couple|5868 	course|6793 	cousin|5611 	
cover|7004 	coyote|7464 	crack|5788 	cradle|6831 	craft|6911 	cram|7226 	
crane|5555 	crash|5472 	crater|6155 	crawl|5628 	crazy|6164 	cream|6353 	
credit|6189 	creek|6043 	crew|5927 	cricket|7011 	crime|6842 	crisp|5454 	
critic|7470 	crop|7437 	cross|7110 	crouch|7334 	crowd|6343 	crucial|5967 	
cruel|5822 	cruise|6953 	crumble|6773 	crunch|6349 	crush|5881 	crystal|6055 	
cry|6721 	cube|6965 	culture|7418 	cupboard|5477 	cup|7003 	curious|5469 	
current|7456 	curtain|6870 	curve|6550 	cushion|5975 	custom|7264 	cute|6705 	
cycle|5844 	dad|6149 	damage|6985 	damp|6832 	dance|6016 	danger|6704 	
daring|6405 	dash|6246 	daughter|5681 	dawn|6531 	day|5765 	deal|6102 	
debate|6792 	debris|7086 	decade|5764 	december|5779 	decide|6268 	decline|6845 	
decorate|6862 	decrease|6247 	deer|6390 	defense|6329 	define|5530 	defy|5576 	
degree|6131 	delay|7392 	deliver|5548 	demand|6316 	demise|7314 	denial|6084 	
dentist|6320 	deny|6108 	depart|7055 	depend|5587 	deposit|5440 	depth|7196 	
deputy|6158 	derive|5525 	describe|6571 	desert|6918 	design|6289 	desk|5711 	
despair|6321 	destroy|5465 	detail|5843 	detect|6071 	develop|6798 	device|6401 	
devote|6356 	diagram|5716 	dial|5981 	diamond|5645 	diary|5819 	dice|6811 	
diesel|7305 	diet|6182 	differ|7442 	digital|6452 	dignity|6036 	dilemma|6808 	
dinner|5728 	dinosaur|5770 	direct|6955 	dirt|7067 	disagree|5488 	discover|6794 	
disease|7316 	dish|7321 	dismiss|6169 	disorder|6891 	display|7208 	distance|7142 	
divert|6538 	divide|6021 	divorce|7039 	dizzy|5675 	doctor|7200 	document|7006 	
dog|6572 	doll|7202 	dolphin|6820 	domain|6561 	donate|7411 	donkey|6269 	
donor|5932 	door|6647 	dose|6499 	double|5441 	dove|6756 	draft|6816 	
dragon|6154 	drama|6136 	drastic|6843 	draw|6477 	dream|5677 	dress|5518 	
drift|5865 	drill|6565 	drink|6983 	drip|6028 	drive|6035 	drop|6844 	
drum|5903 	dry|7296 	duck|6497 	dumb|7408 	dune|7143 	during|6732 	
dust|7158 	dutch|7065 	duty|6744 	dwarf|6748 	dynamic|5491 	eager|5801 	
eagle|7040 	early|6579 	earn|7378 	earth|7421 	easily|5991 	east|5684 	
easy|7291 	echo|7276 	ecology|6698 	economy|5496 	edge|5615 	edit|6404 	
educate|6688 	effort|6262 	egg|7089 	eight|5850 	either|5831 	elbow|6476 	
elder|6088 	electric|5956 	elegant|6073 	element|6677 	elephant|6809 	elevator|7137 	
elite|6701 	else|6398 	embark|5665 	embody|6179 	embrace|7068 	emerge|5762 	
emotion|6958 	employ|7136 	empower|7161 	empty|5837 	enable|6512 	enact|7416 	
endless|5729 	endorse|6971 	end|6237 	enemy|7473 	energy|6626 	enforce|5993 	
engage|7307 	engine|7352 	enhance|6737 	enjoy|6372 	enlist|6931 	enough|5545 	
enrich|6588 	enroll|5533 	ensure|5696 	enter|5479 	entire|7135 	entry|7042 	
envelope|7458 	episode|6687 	equal|7354 	equip|6848 	erase|6740 	era|6556 	
erode|6769 	erosion|6993 	error|5945 	erupt|6610 	escape|6151 	essay|7246 	
essence|5792 	estate|5680 	eternal|6625 	ethics|6272 	evidence|5517 	evil|7234 	
evoke|6469 	evolve|6578 	exact|5811 	example|5794 	excess|6302 	exchange|6706 	
excite|6573 	exclude|7115 	excuse|6632 	execute|7295 	exercise|7183 	exhaust|5925 	
exhibit|5922 	exile|7286 	exist|7122 	exit|5679 	exotic|5719 	expand|6743 	
expect|6058 	expire|6868 	explain|6960 	expose|7041 	express|5708 	extend|5695 	
extra|5433 	eyebrow|6450 	eye|7249 	fabric|6445 	face|6418 	faculty|7463 	
fade|7206 	faint|5795 	faith|5590 	fall|5737 	false|5768 	fame|5838 	
family|5603 	famous|5965 	fancy|6067 	fantasy|5978 	fan|5460 	farm|5714 	
fashion|6952 	fatal|6033 	father|7032 	fatigue|6042 	fat|5793 	fault|7377 	
favorite|6932 	feature|7253 	february|6864 	federal|5646 	feed|6017 	feel|6460 	
fee|5662 	female|6599 	fence|5910 	festival|5731 	fetch|6738 	fever|6406 	
few|5471 	fiber|6068 	fiction|7287 	field|5610 	figure|6047 	file|7452 	
film|5973 	filter|6717 	final|6826 	find|6920 	fine|6995 	finger|7282 	
finish|6241 	fire|7459 	firm|6684 	first|6310 	fiscal|6146 	fish|6023 	
fitness|6603 	fit|7284 	fix|6282 	flag|7337 	flame|6127 	flash|6962 	
flat|6083 	flavor|7332 	flee|5690 	flight|5950 	flip|7403 	float|7108 	
flock|7258 	floor|5722 	flower|6106 	fluid|5705 	flush|5886 	fly|6933 	
foam|7451 	focus|5470 	fog|5712 	foil|6989 	fold|6916 	follow|6527 	
food|6194 	foot|6261 	force|5883 	forest|6795 	forget|7365 	fork|5896 	
fortune|6288 	forum|5435 	forward|6227 	fossil|7423 	foster|6784 	found|5559 	
fox|6307 	fragile|6764 	frame|5983 	frequent|6671 	fresh|7035 	friend|6685 	
fringe|7023 	frog|6880 	front|6691 	frost|5567 	frown|5757 	frozen|7322 	
fruit|7150 	fuel|6305 	funny|5540 	fun|5936 	furnace|6530 	fury|6122 	
future|6589 	gadget|5578 	gain|7285 	galaxy|5589 	gallery|5988 	game|5959 	
gap|7414 	garage|5815 	garbage|6628 	garden|6355 	garlic|6523 	garment|7263 	
gasp|5631 	gas|5509 	gate|5481 	gather|5804 	gauge|7324 	gaze|6703 	
general|7111 	genius|5964 	genre|5474 	gentle|7181 	genuine|6005 	gesture|5916 	
ghost|6175 	giant|7415 	gift|6093 	giggle|6488 	ginger|7044 	giraffe|6341 	
girl|6222 	give|5642 	glad|6840 	glance|5514 	glare|5569 	glass|6409 	
glide|5618 	glimpse|6048 	globe|7166 	gloom|6134 	glory|5960 	glove|7297 	
glow|7096 	glue|6673 	goat|6442 	goddess|7209 	gold|6285 	good|7007 	
goose|6018 	gorilla|5619 	gospel|6104 	gossip|5944 	govern|6570 	gown|6110 	
grab|7303 	grace|5985 	grain|5994 	grant|5583 	grape|5489 	grass|6643 	
gravity|6750 	great|6250 	green|5854 	grid|6099 	grief|7020 	grit|6019 	
grocery|6184 	group|7047 	grow|6326 	grunt|6196 	guard|7013 	guess|5632 	
guide|6508 	guilt|7077 	guitar|6208 	gun|5832 	gym|7407 	habit|7298 	
hair|7116 	half|5691 	hammer|5744 	hamster|7125 	hand|6022 	happy|5524 	
harbor|5989 	hard|6351 	harsh|6430 	harvest|6129 	hat|5633 	have|6287 	
hawk|5905 	hazard|7100 	head|5952 	health|6923 	heart|5570 	heavy|6440 	
hedgehog|6564 	height|5790 	hello|6325 	helmet|6774 	help|7159 	hen|7034 	
hero|7471 	hidden|5874 	high|6077 	hill|6949 	hint|6559 	hip|6475 	
hire|6967 	history|6367 	hobby|5915 	hockey|6461 	hold|6429 	hole|6119 	
holiday|6344 	hollow|5515 	home|7082 	honey|7018 	hood|6481 	hope|6197 	
horn|7391 	horror|7153 	horse|6218 	hospital|7085 	host|6385 	hotel|6991 	
hour|7215 	hover|6729 	hub|5657 	huge|6204 	human|5935 	humble|7050 	
humor|5966 	hundred|6266 	hungry|5893 	hunt|7394 	hurdle|6749 	hurry|5869 	
hurt|6046 	husband|5683 	hybrid|6348 	ice|6966 	icon|6759 	idea|7056 	
identify|6542 	idle|7450 	ignore|7353 	illegal|7010 	illness|5575 	ill|5771 	
image|6173 	imitate|5784 	immense|5641 	immune|5653 	impact|6676 	impose|7144 	
improve|6592 	impulse|5450 	inch|7104 	include|5923 	income|7170 	increase|7112 	
index|6979 	indicate|6089 	indoor|6663 	industry|6836 	infant|7374 	inflict|5585 	
inform|7076 	inhale|6049 	inherit|6239 	initial|7213 	inject|7455 	injury|6451 	
inmate|6997 	inner|7283 	innocent|7052 	input|6378 	inquiry|6887 	insane|6871 	
insect|6303 	inside|6392 	inspire|6980 	install|6494 	intact|5957 	interest|7160 	
into|6397 	invest|6543 	invite|6633 	involve|5704 	iron|7360 	island|5976 	
isolate|5807 	issue|6255 	item|6161 	ivory|6259 	jacket|6292 	jaguar|6474 	
jar|7441 	jazz|5753 	jealous|6821 	jeans|6375 	jelly|6279 	jewel|6243 	
job|6080 	join|7406 	joke|6064 	journey|7028 	joy|6003 	judge|5621 	
juice|6066 	jump|6079 	jungle|7236 	junior|5456 	junk|6060 	just|5506 	
kangaroo|6601 	keen|5600 	keep|7439 	ketchup|5659 	key|6890 	kick|7216 	
kidney|5734 	kid|6791 	kind|5532 	kingdom|6649 	kiss|6053 	kitchen|7346 	
kite|5485 	kitten|6020 	kit|6359 	kiwi|7049 	knee|7182 	knife|5933 	
knock|6546 	know|6922 	label|5730 	labor|7376 	lab|6425 	ladder|5526 	
lady|6876 	lake|6560 	lamp|6374 	language|5605 	laptop|6281 	large|7119 	
later|5672 	latin|6504 	laugh|6014 	laundry|6742 	lava|6976 	lawn|5778 	
lawsuit|5571 	law|5442 	layer|6810 	lazy|5541 	leader|6192 	leaf|6231 	
learn|6715 	leave|7148 	lecture|6416 	left|6926 	legal|6234 	legend|6052 	
