1776-04-22-en-bip39-blue-amused-pelican-encode
abandon|5593 	ability|6592 	able|6670 	about|6936 	above|5690 	absent|6111 	
absorb|7187 	abstract|5662 	absurd|5639 	abuse|6492 	access|5872 	accident|7112 	
account|5867 	accuse|6488 	achieve|7025 	acid|7009 	acoustic|5797 	acquire|7198 	
across|6690 	action|6408 	actor|6712 	actress|6815 	actual|5993 	act|7099 	
adapt|5599 	addict|6790 	address|6299 	add|7468 	adjust|6082 	admit|5496 	
adult|6437 	advance|6508 	advice|6030 	aerobic|5491 	affair|5987 	afford|5534 	
afraid|6531 	again|5713 	agent|7321 	age|5914 	agree|7210 	ahead|7283 	
aim|6591 	airport|6321 	air|5883 	aisle|6655 	alarm|6960 	album|6010 	
alcohol|5537 	alert|5707 	alien|5631 	alley|5487 	allow|7471 	all|6584 	
almost|5438 	alone|7335 	alpha|7440 	already|6277 	also|6314 	alter|5510 	
always|6729 	amateur|6661 	amazing|5936 	among|5611 	amount|7075 	amused|7017 	
analyst|7007 	anchor|6353 	ancient|6673 	anger|6777 	angle|7030 	angry|7170 	
animal|7247 	ankle|6378 	announce|5441 	annual|7381 	another|6021 	answer|5544 	
antenna|6307 	antique|6915 	anxiety|5804 	any|7372 	apart|7452 	apology|6551 	
appear|6839 	apple|5752 	approve|6886 	april|7392 	arch|5814 	arctic|6416 	
area|6883 	arena|6588 	argue|6483 	armed|7090 	armor|7371 	army|7293 	
arm|6507 	around|5672 	arrange|6019 	arrest|7259 	arrive|7194 	arrow|5524 	
artefact|6064 	artist|7387 	artwork|7391 	art|5573 	ask|7044 	aspect|7166 	
assault|5568 	asset|7137 	assist|6762 	assume|6593 	asthma|6730 	athlete|6581 	
atom|6389 	attack|6865 	attend|6578 	attitude|5844 	attract|6696 	auction|7298 	
audit|5931 	august|6045 	aunt|5536 	author|7046 	auto|6849 	autumn|6978 	
average|7458 	avocado|6950 	avoid|7462 	awake|5523 	aware|6256 	away|6004 	
awesome|6496 	awful|6811 	awkward|6131 	axis|7016 	baby|5869 	bachelor|6989 	
bacon|6424 	badge|5554 	bag|6105 	balance|7278 	balcony|6565 	ball|6681 	
bamboo|6048 	banana|7324 	banner|5623 	barely|6679 	bargain|5935 	barrel|5435 	
bar|7271 	base|6985 	basic|5581 	basket|5793 	battle|6724 	beach|7108 	
bean|5625 	beauty|5729 	because|6860 	become|6071 	beef|7275 	before|6606 	
begin|6691 	behave|5934 	behind|6917 	believe|7478 	below|6749 	belt|6230 	
bench|6991 	benefit|7286 	best|5648 	betray|6209 	better|6602 	between|6973 	
beyond|5689 	bicycle|7455 	bid|6904 	bike|6579 	bind|6385 	biology|6324 	
bird|5933 	birth|5724 	bitter|5528 	black|6419 	blade|6073 	blame|5718 	
blanket|6525 	blast|6912 	bleak|5909 	bless|5849 	blind|6356 	blood|6666 	
blossom|6281 	blouse|6168 	blue|7330 	blur|7300 	blush|7377 	board|7228 	
boat|6710 	body|6201 	boil|6832 	bomb|6816 	bone|7119 	bonus|6306 	
book|5437 	boost|6143 	border|5681 	boring|5893 	borrow|5941 	boss|6196 	
bottom|5918 	bounce|6442 	box|7380 	boy|6383 	bracket|6620 	brain|7264 	
brand|6644 	brass|5572 	brave|6139 	bread|6290 	breeze|6180 	brick|6119 	
bridge|5924 	brief|5788 	bright|6350 	bring|6481 	brisk|6933 	broccoli|5842 	
broken|6359 	bronze|6708 	broom|6541 	brother|6934 	brown|7071 	brush|5709 	
