2002-05-14-en-bip39-green-good-squirrel-encode
abandon|7247 	ability|6955 	able|5668 	about|7438 	above|7422 	absent|6809 	
absorb|6668 	abstract|5840 	absurd|5892 	abuse|6372 	access|6927 	accident|6602 	
account|6535 	accuse|5545 	achieve|6167 	acid|7038 	acoustic|6873 	acquire|6200 	
across|5757 	action|7341 	actor|6440 	actress|5512 	actual|7266 	act|7248 	
adapt|6194 	addict|6427 	address|5674 	add|5763 	adjust|6888 	admit|6045 	
adult|7252 	advance|5523 	advice|6678 	aerobic|6970 	affair|6285 	afford|6510 	
afraid|5519 	again|5878 	agent|7052 	age|6642 	agree|6876 	ahead|6561 	
aim|6191 	airport|7347 	air|6079 	aisle|6083 	alarm|6708 	album|5531 	
alcohol|6858 	alert|6648 	alien|7417 	alley|6347 	allow|5552 	all|7459 	
almost|6335 	alone|6311 	alpha|7471 	already|5828 	also|5659 	alter|5627 	
always|7165 	amateur|6109 	amazing|5620 	among|6067 	amount|6381 	amused|6091 	
analyst|6641 	anchor|6497 	ancient|6885 	anger|6945 	angle|7309 	angry|5846 	
animal|7081 	ankle|6780 	announce|5871 	annual|6263 	another|5890 	answer|6893 	
antenna|5983 	antique|7439 	anxiety|6396 	any|5563 	apart|6373 	apology|6221 	
appear|7160 	apple|6853 	approve|7233 	april|5516 	arch|6573 	arctic|5966 	
area|6581 	arena|6465 	argue|6580 	armed|6437 	armor|6487 	army|5708 	
arm|6797 	around|5773 	arrange|6628 	arrest|6822 	arrive|5442 	arrow|5955 	
artefact|5849 	artist|6152 	artwork|6750 	art|6338 	ask|6788 	aspect|6274 	
assault|6076 	asset|6179 	assist|5900 	assume|6637 	asthma|5640 	athlete|7172 	
atom|7235 	attack|7319 	attend|5615 	attitude|7094 	attract|5959 	auction|6385 	
audit|5825 	august|6704 	aunt|5735 	author|5783 	auto|7093 	autumn|6509 	
average|6634 	avocado|7322 	avoid|5591 	awake|7085 	aware|6918 	away|6514 	
awesome|7464 	awful|6013 	awkward|5790 	axis|6310 	baby|5455 	bachelor|6022 	
bacon|6880 	badge|6950 	bag|5474 	balance|6997 	balcony|6122 	ball|6882 	
bamboo|5456 	banana|5559 	banner|5697 	barely|5572 	bargain|7238 	barrel|5850 	
bar|5696 	base|7389 	basic|5749 	basket|6884 	battle|6572 	beach|5451 	
bean|6751 	beauty|5538 	because|6062 	become|5751 	beef|7193 	before|6823 	
begin|6354 	behave|6406 	behind|6907 	believe|6323 	below|5896 	belt|6428 	
bench|5565 	benefit|6635 	best|7299 	betray|7382 	better|5827 	between|6439 	
beyond|6665 	bicycle|6500 	bid|7189 	bike|6064 	bind|7111 	biology|6405 	
bird|7206 	birth|7170 	bitter|5768 	black|6864 	blade|6046 	blame|7435 	
blanket|6454 	blast|5835 	bleak|6337 	bless|7265 	blind|6087 	blood|5744 	
blossom|5622 	blouse|5646 	blue|6475 	blur|6359 	blush|6909 	board|7186 	
boat|5901 	body|7182 	boil|6077 	bomb|6224 	bone|5777 	bonus|7244 	
book|5613 	boost|6240 	border|7205 	boring|6543 	borrow|7441 	boss|6389 	
bottom|7130 	bounce|6700 	box|7087 	boy|5975 	bracket|5949 	brain|5950 	
brand|5493 	brass|6426 	brave|5642 	bread|6242 	breeze|6053 	brick|6799 	
bridge|5933 	brief|7022 	bright|5750 	bring|6507 	brisk|5663 	broccoli|6238 	
broken|6829 	bronze|5682 	broom|6000 	brother|6014 	brown|6434 	brush|7241 	
bubble|7458 	buddy|6515 	budget|6261 	buffalo|6292 	build|5800 	bulb|6967 	
bulk|7373 	bullet|6096 	bundle|7472 	bunker|5494 	burden|5579 	burger|6664 	
burst|6078 	business|7128 	busy|5954 	bus|6607 	butter|5831 	buyer|7312 	
buzz|5616 	cabbage|7153 	cabin|6863 	cable|6504 	cactus|5894 	cage|6126 	
cake|5938 	call|6203 	calm|6633 	camera|7325 	camp|7216 	canal|6705 	
cancel|6075 	candy|5847 	cannon|7024 	canoe|7332 	canvas|6833 	canyon|6938 	
can|6611 	capable|7141 	capital|6410 	captain|6944 	carbon|5496 	card|7227 	
cargo|6208 	carpet|7078 	carry|5576 	cart|6688 	car|5507 	case|5497 	
cash|5874 	casino|5804 	castle|5623 	casual|5872 	catalog|6903 	catch|5984 	
category|5500 	cattle|6920 	cat|6215 	caught|6686 	cause|7212 	caution|6283 	
cave|7453 	ceiling|6593 	celery|5978 	cement|5521 	census|6015 	century|7249 	
cereal|6464 	certain|5441 	chair|6123 	chalk|6367 	champion|6804 	change|5724 	
chaos|7346 	chapter|6968 	charge|6807 	chase|7256 	chat|5940 	cheap|6239 	
check|6874 	cheese|6632 	chef|5478 	cherry|6430 	chest|7194 	chicken|5604 	
chief|5532 	child|6530 	chimney|6827 	choice|6960 	choose|5544 	chronic|6136 	
chuckle|6656 	chunk|5589 	churn|6654 	cigar|7121 	cinnamon|5937 	circle|5509 	
citizen|6976 	city|7012 	civil|5584 	claim|5856 	clap|6050 	clarify|6792 	
claw|6681 	clay|5637 	clean|5631 	clerk|6275 	clever|5754 	click|7200 	
client|6594 	cliff|7395 	climb|6739 	clinic|7037 	clip|6959 	clock|5887 	
clog|7428 	close|6659 	cloth|5985 	cloud|6811 	clown|6340 	club|7330 	
clump|6134 	cluster|6650 	clutch|7048 	coach|7076 	coast|6662 	coconut|6696 	
code|5868 	coffee|7220 	coil|6770 	coin|5705 	collect|6857 	color|5946 	
column|6620 	combine|7192 	come|6539 	comfort|7380 	comic|5664 	common|6358 	
company|5911 	concert|5920 	conduct|6168 	confirm|7251 	congress|7466 	connect|6101 	
