2000-07-27-en-bip39-pink-hurt-goat-encode
abandon|5792 	ability|5962 	able|6411 	about|5780 	above|7176 	absent|7404 	
absorb|5707 	abstract|6133 	absurd|6821 	abuse|7308 	access|5620 	accident|5706 	
account|7213 	accuse|6653 	achieve|7332 	acid|6616 	acoustic|7280 	acquire|5683 	
across|6048 	action|6776 	actor|6711 	actress|6571 	actual|6080 	act|6781 	
adapt|6912 	addict|7311 	address|5528 	add|6060 	adjust|5732 	admit|5782 	
adult|5573 	advance|5664 	advice|6481 	aerobic|6317 	affair|6448 	afford|6663 	
afraid|7279 	again|6344 	agent|5811 	age|6541 	agree|7021 	ahead|5625 	
aim|7228 	airport|6010 	air|5984 	aisle|6390 	alarm|6592 	album|7150 	
alcohol|7039 	alert|7425 	alien|6992 	alley|5562 	allow|5705 	all|6806 	
almost|7477 	alone|5476 	alpha|5996 	already|7066 	also|7200 	alter|5610 	
always|7041 	amateur|6809 	amazing|7141 	among|6536 	amount|6489 	amused|6887 	
analyst|6601 	anchor|7358 	ancient|6333 	anger|7056 	angle|7287 	angry|5538 	
animal|5916 	ankle|6961 	announce|5498 	annual|5716 	another|6103 	answer|6156 	
antenna|6291 	antique|6303 	anxiety|6260 	any|5808 	apart|6072 	apology|5864 	
appear|6927 	apple|5530 	approve|6246 	april|5770 	arch|6343 	arctic|7148 	
area|7080 	arena|5894 	argue|6849 	armed|5484 	armor|6191 	army|5878 	
arm|7030 	around|5915 	arrange|5768 	arrest|7378 	arrive|6244 	arrow|5493 	
artefact|7386 	artist|7159 	artwork|6564 	art|6117 	ask|7272 	aspect|5723 	
assault|6446 	asset|5882 	assist|5828 	assume|7151 	asthma|7232 	athlete|5786 	
atom|7426 	attack|6052 	attend|5474 	attitude|7019 	attract|6360 	auction|5588 	
audit|6058 	august|6139 	aunt|7370 	author|5990 	auto|6994 	autumn|7291 	
average|6162 	avocado|7075 	avoid|6755 	awake|6312 	aware|6575 	away|6602 	
awesome|5855 	awful|7394 	awkward|7364 	axis|6406 	baby|6066 	bachelor|5560 	
bacon|5950 	badge|5450 	bag|5492 	balance|6056 	balcony|7393 	ball|5972 	
